File,Wire,Cable,From,From pin,From signal,From terminal,To,To pin,To signal,To terminal,Colour,AWG,Route,Est mm,Splice,Done
B-ECU,w_fpump,,Fuel Pump Relay,87,+12V out -> fuel pump,280756-4,Fuel Pump,c1,12V,(generic),Red,12,bn_bp_1170__k_fp > bn_bp_1170__bp_1200 > bn_bp_1200__bp_1230 > bn_bp_1230__bp_1260 > bn_bp_1260__bp_2100 > bn_bp_2100__fuelpump,2650,,
B-ECU,w_hc_fb,,High-current fuse block HCFB (glove box),H1,50A AMI - FB1 IN (mini fuse module feed),GENERIC RING M5 10-8,Cabin fuse block (passenger glove box),IN,Permanent bus in - 50A from HCFB H1,1-1355844-1,Red,10,bn_bp_1065__hcfb > bn_bp_1050__bp_1065 > bn_bp_1050__fusebox,480,,
B-ECU,w_inj_pwr_c,,Cabin fuse block (passenger glove box),F11,15A - SW bus: injector bank,1-1355877-1,Bulkhead B - firewall (HDP24-24-21PN),1,Switched 12V - INJECTOR power feed *,0460-220-1231,Red,14,bn_bp_1050__fusebox > bn_bp_1020__bp_1050 > bn_ecu_a__bp_1020 > bn_bp_960__ecu_a > bn_bp_930__bp_960 > bn_bp_900__bp_930 > bn_bp_870__bp_900 > bn_bp_870__bh_b_fw,610,,
B-ECU,w_k_efi_86,,Cabin fuse block (passenger glove box),F12,"5A - relay coil feed, PERMANENT *",1-1355833-1,EFI Main Relay,86,Coil + - PERMANENT battery via F12 5A *,42281-1,Red,18,bn_bp_1050__fusebox > bn_bp_1050__bp_1065 > bn_bp_1065__bp_1080 > bn_bp_1080__bp_1110 > bn_bp_1110__k_efi,470,,
B-ECU,w_k_etb_86,,sp_sw12,,,,ETB Power Relay,86,Coil + - ignition-switched 12V *,280919-4,Red,20,,,sp_sw12,
B-ECU,w_k_fan2_86,,sp_sw12,,,,"Condenser Fan Relay (on/off, diode)",86,Coil + - ignition-switched 12V *,42281-1,Red,18,,,sp_sw12,
B-ECU,w_k_fan_86,,sp_sw12,,,,Radiator Fan Relay (on/off),86,Coil + - ignition-switched 12V *,42281-1,Red,18,,,sp_sw12,
B-ECU,w_k_fp_86,,sp_sw12,,,,Fuel Pump Relay,86,Coil + - ignition-switched 12V *,42281-1,Red,18,,,sp_sw12,
B-ECU,w_k_str_86,,sp_sw12,,,,Start Relay,86,Coil + - ignition-switched 12V *,42281-1,Red,18,,,sp_sw12,
B-ECU,w_rail_sp_5v_c,,sp_5v,,,,Bulkhead A - firewall (HDP24-24-47PE-L017),2,+5V Out to engine sensors,0460-202-1631,Orange,18,,,sp_5v,
B-ECU,w_rail_sp_8v_c,,sp_8v,,,,Bulkhead A - firewall (HDP24-24-47PE-L017),4,+8V Out to cam Hall,0460-202-1631,Orange/White,20,,,sp_8v,
B-ECU,w_rail_sp_gndout_c,,sp_gndout,,,,Bulkhead A - firewall (HDP24-24-47PE-L017),3,Gnd Out to engine sensors,0460-202-1631,Black/White,20,,,sp_gndout,
B-ECU,w_rail_sp_sw12_c,,sp_sw12,,,,Bulkhead A - firewall (HDP24-24-47PE-L017),5,Switched 12V to engine sensors,0460-202-1631,Red,18,,,sp_sw12,
B-engine,w10,,Charge-Pipe IAT,c2,GND,8100-0461,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w112,,COP 1,c1,"+B 12V (switched, F10)",8100-0461,sp_cop_eng,,,,Red,18,,,sp_cop_eng,
B-engine,w113,,COP 2,c1,"+B 12V (switched, F10)",8100-0461,sp_cop_eng,,,,Red,18,,,sp_cop_eng,
B-engine,w114,,COP 3,c1,"+B 12V (switched, F10)",8100-0461,sp_cop_eng,,,,Red,18,,,sp_cop_eng,
B-engine,w115,,COP 4,c1,"+B 12V (switched, F10)",8100-0461,sp_cop_eng,,,,Red,18,,,sp_cop_eng,
B-engine,w124_e,,Bulkhead B - engine plug (HDP26-24-21SN),5,"ETB motor + (Aux 9, B18)",0462-201-1631,Bosch 74.5mm ETB,c4,Motor+,"(kit socket, D 261 205 358-01)",Pink,18,bn_bp_750__bh_b_eng > bn_bp_720__bp_750 > bn_bp_690__bp_720 > bn_bp_660__bp_690 > bn_bp_630__bp_660 > bn_bp_630__etb,660,,
B-engine,w126,,Bosch 74.5mm ETB,c3,+5V (TPS supply),"(kit socket, D 261 205 358-01)",sp_5v_eng,,,,Orange,20,,,sp_5v_eng,
B-engine,w127,,Bosch 74.5mm ETB,c2,Poti- (GND),"(kit socket, D 261 205 358-01)",sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w17,,Turbo Speed Sensor,C,Gnd Out,0462-201-16141,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w2,,Crank VR Sensor,c2,GND,0462-201-16141,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w206,,MAP Sensor,c1,5V,12084200,sp_5v_eng,,,,Orange,20,,,sp_5v_eng,
B-engine,w207,,Oil Pressure Sensor,c1,5V,12084200,sp_5v_eng,,,,Orange,20,,,sp_5v_eng,
B-engine,w208,,Fuel Pressure Sensor,c1,5V,12084200,sp_5v_eng,,,,Orange,20,,,sp_5v_eng,
B-engine,w209,,Coolant Pressure Sensor,c1,5V,12084200,sp_5v_eng,,,,Orange,20,,,sp_5v_eng,
B-engine,w211,,Injector 1,c1,12V,15326427,sp_inj_eng,,,,Red,18,,,sp_inj_eng,
B-engine,w212,,Injector 2,c1,12V,15326427,sp_inj_eng,,,,Red,18,,,sp_inj_eng,
B-engine,w213,,Injector 3,c1,12V,15326427,sp_inj_eng,,,,Red,18,,,sp_inj_eng,
B-engine,w214,,Injector 4,c1,12V,15326427,sp_inj_eng,,,,Red,18,,,sp_inj_eng,
B-engine,w215_e,,Bulkhead B - engine plug (HDP26-24-21SN),6,"ETB motor - (Aux 10, B26)",0462-201-1631,Bosch 74.5mm ETB,c1,Motor-,"(kit socket, D 261 205 358-01)",Pink,18,bn_bp_750__bh_b_eng > bn_bp_720__bp_750 > bn_bp_690__bp_720 > bn_bp_660__bp_690 > bn_bp_630__bp_660 > bn_bp_630__etb,660,,
B-engine,w217,,Flex Fuel Sensor,c1,12V,15326427,sp_sw12_eng,,,,Red/White,18,,,sp_sw12_eng,
B-engine,w218,,Turbo Speed Sensor,A,+5V (sensor supply; kit red 12V lead is for the gauge only),0462-201-16141,sp_5v_eng,,,,Orange,20,,,sp_5v_eng,
B-engine,w219,,Boost Control Solenoid,c1,12V,12084200,sp_sw12_eng,,,,Red,20,,,sp_sw12_eng,
B-engine,w24,,Cam Hall Sensor,c3,Gnd Out,(generic),sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w27,,MAP Sensor,c3,Gnd Out,12084200,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w30,,Oil Pressure Sensor,c3,Gnd Out,12084200,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w33,,Fuel Pressure Sensor,c3,Gnd Out,12084200,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w36,,Coolant Pressure Sensor,c3,Gnd Out,12084200,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w4,,ECT Sensor,c2,GND,8100-0461,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w47,,Flex Fuel Sensor,c2,GND,15326427,sp_gndout_eng,,,,Black/White,18,,,sp_gndout_eng,
B-engine,w6,,IAT Sensor,c2,GND,8100-0461,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w8,,Oil Temp Sensor,c2,GND,8100-0461,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w_cop1g,,COP 1,c4,GND,8100-0461,sp_chassis_eng,,,,Black,18,,,sp_chassis_eng,
B-engine,w_cop2g,,COP 2,c4,GND,8100-0461,sp_chassis_eng,,,,Black,18,,,sp_chassis_eng,
B-engine,w_cop3g,,COP 3,c4,GND,8100-0461,sp_chassis_eng,,,,Black,18,,,sp_chassis_eng,
B-engine,w_cop4g,,COP 4,c4,GND,8100-0461,sp_chassis_eng,,,,Black,18,,,sp_chassis_eng,
B-engine,w_cop_pwr_e,,Bulkhead B - engine plug (HDP26-24-21SN),2,Switched 12V - COP / ignition coil power feed *,0462-210-1231,sp_cop_eng,,,,Red,14,,,sp_cop_eng,
B-engine,w_eng_gnd,,Engine block ground stud (power ground),,,,sp_chassis_eng,,,,Black,10,,,sp_chassis_eng,
B-engine,w_inj_pwr_e,,Bulkhead B - engine plug (HDP26-24-21SN),1,Switched 12V - INJECTOR power feed *,0462-210-1231,sp_inj_eng,,,,Red,14,,,sp_inj_eng,
B-engine,w_lam12,,Link CAN-Lambda,c1,Power +12V (10A fused per Link QSG),0462-201-2031,sp_sw12_eng,,,,Red,20,,,sp_sw12_eng,
B-engine,w_lamg,,Link CAN-Lambda,c2,GND,0462-201-2031,sp_chassis_eng,,,,Black,20,,,sp_chassis_eng,
B-engine,w_rail_sp_5v_e,,Bulkhead A - engine plug (HDP26-24-47SE-L015),2,+5V Out to engine sensors,0462-201-1631,sp_5v_eng,,,,Orange,18,,,sp_5v_eng,
